"","V1","V2","V3","V4"
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
"",5,0.5,1.5,0.25
"",5,2,2,0.25
"",5,0.5,1.5,0.5
"",5,2,2,0.5
"",5,0.5,1.5,1
"",5,2,2,1
"",200,0.5,1.5,0.05
"",200,2,2,0.05
"",200,0.5,1.5,0.1
"",200,2,2,0.1
"",200,0.5,1.5,0.25
"",200,2,2,0.25
"",200,0.5,1.5,0.5
"",200,2,2,0.5
"",200,0.5,1.5,1
"",200,2,2,1
"",5,0.5,1.5,0.05
"",5,2,2,0.05
"",5,0.5,1.5,0.1
"",5,2,2,0.1
