"","V1","V2","V3","V4"
"",5,0.5,1.5,0.05
"",5,2.5,3.5,0.05
"",5,0.5,3.5,0.05
"",5,0.5,1.5,0.1
"",5,2.5,3.5,0.1
"",5,0.5,3.5,0.1
"",5,0.5,1.5,0.25
"",5,2.5,3.5,0.25
"",5,0.5,3.5,0.25
"",5,0.5,1.5,0.5
"",5,2.5,3.5,0.5
"",5,0.5,3.5,0.5
"",5,0.5,1.5,1
"",5,2.5,3.5,1
"",5,0.5,3.5,1
"",7,0.5,1.5,0.05
"",7,2.5,3.5,0.05
"",7,0.5,3.5,0.05
"",7,0.5,1.5,0.1
"",7,2.5,3.5,0.1
"",7,0.5,3.5,0.1
"",7,0.5,1.5,0.25
"",7,2.5,3.5,0.25
"",7,0.5,3.5,0.25
"",7,0.5,1.5,0.5
"",7,2.5,3.5,0.5
"",7,0.5,3.5,0.5
"",7,0.5,1.5,1
"",7,2.5,3.5,1
"",7,0.5,3.5,1
"",10,0.5,1.5,0.05
"",10,2.5,3.5,0.05
"",10,0.5,3.5,0.05
"",10,0.5,1.5,0.1
"",10,2.5,3.5,0.1
"",10,0.5,3.5,0.1
"",10,0.5,1.5,0.25
"",10,2.5,3.5,0.25
"",10,0.5,3.5,0.25
"",10,0.5,1.5,0.5
"",10,2.5,3.5,0.5
"",10,0.5,3.5,0.5
"",10,0.5,1.5,1
"",10,2.5,3.5,1
"",10,0.5,3.5,1
"",200,0.5,1.5,0.05
"",200,2.5,3.5,0.05
"",200,0.5,3.5,0.05
"",200,0.5,1.5,0.1
"",200,2.5,3.5,0.1
"",200,0.5,3.5,0.1
"",200,0.5,1.5,0.25
"",200,2.5,3.5,0.25
"",200,0.5,3.5,0.25
"",200,0.5,1.5,0.5
"",200,2.5,3.5,0.5
"",200,0.5,3.5,0.5
"",200,0.5,1.5,1
"",200,2.5,3.5,1
"",200,0.5,3.5,1
"",5,0.5,1.5,0.05
"",5,2.5,3.5,0.05
"",5,0.5,3.5,0.05
"",5,0.5,1.5,0.1
"",5,2.5,3.5,0.1
"",5,0.5,3.5,0.1
"",5,0.5,1.5,0.25
"",5,2.5,3.5,0.25
"",5,0.5,3.5,0.25
"",5,0.5,1.5,0.5
"",5,2.5,3.5,0.5
"",5,0.5,3.5,0.5
"",5,0.5,1.5,1
"",5,2.5,3.5,1
"",5,0.5,3.5,1
"",7,0.5,1.5,0.05
"",7,2.5,3.5,0.05
"",7,0.5,3.5,0.05
